"",""
"<a href="""%s""">Please check your module configuration</a> or create your wallet in <a href="""%s""">Lemonway BO</a>.","<a href="""%s""">Please check your module configuration</a> or create your wallet in <a href="""%s""">Lemonway BO</a>."
"Account Lemon Way for E-commerce","Account Lemon Way for E-commerce"
"Action","Action"
"Actual card","Actual card"
"Add Wallet","Add Wallet"
"Allow One clic","Allow One clic"
"Amount to pay","Amount to pay"
"An error occurred while updating the wallets.","An error occurred while updating the wallets."
"An error occurred. Please contact support.","An error occurred. Please contact support."
"Are you sure?","Are you sure?"
"Auto commission","Auto commission"
"Balance","Balance"
"Birth country","Birth country"
"Cancel orders in pending status since more 30 minutes. Useful when a customer don't send his credit card information in hosted page.","Cancel orders in pending status since more 30 minutes. Useful when a customer don't send his credit card information in hosted page."
"Cancel orders in pending status","Cancel orders in pending status"
"Card Expiration date (one clic)","Card Expiration date (one clic)"
"Card ID one clic","Card ID one clic"
"Card Num (one clic)","Card Num (one clic)"
"Card type (one clic)","Card type (one clic)"
"Change Is Admin","Change Is Admin"
"Change Is company","Change Is company"
"Change Is debtor","Change Is debtor"
"Change Is default","Change Is default"
"Change Is One time customer","Change Is One time customer"
"Change status","Change status"
"City of Birth","City of Birth"
"City","City"
"Commission amount","Commission amount"
"Company description","Company description"
"Company ID number","Company ID number"
"Company name","Company name"
"Company website","Company website"
"Could not find wallet to delete.","Could not find wallet to delete."
"Country","Country"
"Created at","Created at"
"Css url","Css url"
"CSV","CSV"
"Current balance","Current balance"
"Customer ID","Customer ID"
"Customer not found!","Customer not found!"
"Delete Wallet","Delete Wallet"
"Delete","Delete"
"Disabled","Disabled"
"Display checkbox in frontend form","Display checkbox in frontend form"
"Dob","Dob"
"Document checked and accepted","Document checked and accepted"
"Document checked but not accepted","Document checked but not accepted"
"Document only received","Document only received"
"Document replaced by another document","Document replaced by another document"
"Document validity expired","Document validity expired"
"Edit Wallet '%s'","Edit Wallet '%s'"
"Edit","Edit"
"Email related to your wallet. It's used for retrieve wallet's informations.","Email related to your wallet. It's used for retrieve wallet's informations.
"Email","Email"
"Enable debug log","Enable debug log"
"Enable test mode","Enable test mode"
"Enabled","Enabled"
"Error saving wallet","Error saving wallet"
"Excel","Excel"
"Expiration date","Expiration date"
"Firstname","Firstname"
"Home","Home"
"Iban informations","Iban informations"
"ID card (UE)","ID card (UE)"
"Id","Id"
"If <b>No</b> <u>you must fill field Commission amount below</u>.","If <b>No</b> <u>you must fill field Commission amount below</u>."
"If you have cutomized marketplace module to include shipping amount in seller's amount, enable it.","Enable it, if you have cutomized marketplace module to include shipping amount in seller's total before commision calculation."
"Is Admin","Is Admin"
"Is Blocked","Is Blocked"
"Is company","Is company"
"Is debtor","Is debtor"
"Is default","Is default"
"Is One time customer","Is One time customer"
"Kbis","Kbis"
"Lastname","Lastname"
"Lemonway account configuration","Lemonway account configuration"
"Lemonway ID","Lemonway ID"
"Lemonway payment method (webkit)","Lemonway payment method (webkit)"
"Lemonway payment","Lemonway payment"
"Log all queries to and fromLemonway API","Log all queries to and fromLemonway API"
"Login Lemon Way for E-commerce","Login Lemon Way for E-commerce"
"Miscellaneous","Miscellaneous"
"Mobile Number","Mobile Number"
"Money out","Money out"
"Moneyout from Magento module","Moneyout from Magento module"
"MoneyOut","Money out"
"Nationality","Nationality"
"No","No"
"None","None"
"Not use recorded card data","Not use recorded card data"
"Oneclic mode (card id: %s)","Oneclic mode (card id: %s)"
"Order canceled automatically by cron because order is pending since %d minutes","Order canceled automatically by cron because order is pending since %d minutes"
"Owner email","Owner email"
"Owner name","Owner name"
"Passport (Not UE)","Passport (Not UE)"
"Passport (UE)","Passport (UE)"
"Password Lemon Way for E-commerce","Password Lemon Way for E-commerce"
"Pay","Pay"
"Payer or beneficiary","Payer or beneficiary"
"Payment informations","Payment informations"
"Phone Number","Phone Number"
"Please create at least one for wallet <b>%s</b> in <a href="%s">Lemonway BO </a>."
"Please select wallets to delete.","Please select wallets to delete."
"Please select wallets.","Please select wallets."
"Postcode","Postcode"
"Prefix","Prefix"
"Proof of address","Proof of address"
"Reset","Reset"
"Residence permit","Residence permit"
"RIB","RIB"
"Save And Continue Edit","Save And Continue Edit"
"Save new card data","Save new card data"
"Save Wallet","Save Wallet"
"Save your card data for a next buy.","Save your card data for a next buy."
"Shipping amount in marketplace total","Shipping amount in marketplace total"
"Status","Status"
"Store views","Store views"
"Street","Street"
"The wallets has been deleted.","The wallets has been deleted."
"There was a problem saving the wallet.","There was a problem saving the wallet."
"There was an error deleting wallet.","There was an error deleting wallet."
"There was an error deleting wallets.","There was an error deleting wallets."
"There was an error updating wallets.","There was an error updating wallets."
"This information has been sent to you by e-mail","This information has been sent to you by e-mail"
"This wallet no longer exists.","This wallet no longer exists."
"Title","Title"
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d wallets were successfully deleted.","Total of %d wallets were successfully deleted."
"Total of %d wallets were successfully updated.","Total of %d wallets were successfully updated."
"Transaction Failed. Order was canceled automatically.","Transaction Failed. Order was canceled automatically."
"Unable to find wallet to save.","Unable to find wallet to save."
"Updated at","Updated at"
"Use my recorded card","Use my recorded card"
"Wallet ID","Wallet ID"
"Wallet informations","Wallet informations"
"Wallet was saved","Wallet was saved"
"Wallet was successfully deleted.","Wallet was successfully deleted."
"Wallet was successfully saved","Wallet was successfully saved"
"Wallet","Wallet"
"Wallets","Wallets"
"We can't retrieve your wallet!","We can't retrieve your wallet!"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes for tests, No to go Live","Yes for tests, No to go Live"
"Yes","Yes"
"You can't paid amount upper of your balance amount: %s","You can't paid amount upper of your balance amount: %s"
"You don't have any Iban!","You don't have any Iban!"
"You paid %s to your Iban %s from your wallet <b>%s</b>","You paid %s to your Iban %s from your wallet <b>%s</b>"
"You will be redirect to payment page after you submit order.","You will be redirect to payment page after you submit order."
"Your order will be paid with your registered card after you submit order","Your order will be paid with your registered card after you submit order"
"Your wallet email","Your wallet email"
